album_id,artist_id
608,326
609,554
610,185
611,327
612,328
613,211
614,211
615,221
616,181
617,329
618,329
619,329
620,243
621,115
623,192
624,208
625,28
626,330
627,323
628,228
629,331
630,251
631,247
632,332
633,46
634,333
635,28
636,28
637,67
638,334
639,335
640,336
641,337
642,77
643,37
644,321
645,321
647,36
648,261
649,339
650,198
651,340
653,122
654,341
656,205
657,102
658,342
659,343
660,261
661,342
662,344
663,345
664,346
665,102
666,342
667,347
668,348
669,110
670,349
671,350
672,349
673,351
674,352
675,53
677,339
679,353
680,354
681,355
682,356
683,357
684,292
685,321
686,174
687,358
688,359
689,122
690,360
692,361
693,361
694,212
695,362
696,363
697,364
698,365
699,104
700,54
701,366
702,152
703,286
704,2
705,3
706,111
707,123
708,149
709,152
716,212
717,10
718,26
720,70
721,177
722,25
723,104
724,76
725,76
726,368
727,369
728,250
729,370
730,371
731,371
732,226
733,26
734,355
735,369
737,302
738,220
739,26
740,26
741,392
742,291
743,260
744,99
745,373
746,371
747,26
748,61
749,26
750,57
751,70
752,26
753,115
754,205
755,21
756,374
757,1
758,70
759,79
760,376
761,376
762,377
763,25
764,378
765,44
766,99
768,220
769,379
770,30
772,380
773,177
774,174
775,382
776,187
777,383
778,384
779,198
780,385
781,284
782,203
784,387
790,389
795,143
799,386
801,395
804,397
805,113
806,398
807,158
808,399
809,400
810,401
811,402
812,403
813,207
814,404
815,102
816,226
817,371
818,405
819,842
820,255
821,255
822,174
823,406
824,205
825,188
826,407
827,408
828,381
829,110
830,409
831,410
832,410
833,8
834,8
835,8
836,8
837,100
838,411
839,253
840,190
841,331
842,413
843,414
844,253
845,45
846,93
847,150
848,70
849,200
850,410
851,112
852,415
853,187
854,31
855,416
856,417
857,418
858,420
859,421
860,36
861,417
862,422
863,423
865,225
866,8
867,82
869,425
870,312
871,123
872,426
874,313
875,427
876,428
878,77
881,302
882,146
883,60
884,430
886,77
887,43
888,106
889,431
890,431
891,432
892,432
893,432
894,432
895,432
896,432
897,62
898,253
899,433
901,288
902,106
903,60
904,60
906,70
907,435
908,411
909,31
910,436
911,70
913,250
914,250
915,367
916,53
917,54
920,437
921,438
923,439
927,106
928,70
929,442
930,710
931,443
932,201
933,221
934,444
935,339
936,76
937,445
938,62
939,284
940,143
941,190
942,152
943,423
944,174
945,446
946,447
947,410
948,449
949,143
950,55
951,143
952,450
953,205
954,36
955,451
956,56
957,410
958,452
959,453
961,454
966,457
967,458
969,361
970,36
971,115
972,179
973,423
974,261
975,35
976,460
977,200
978,200
979,57
980,54
987,127
989,376
990,462
991,330
992,226
993,104
994,376
995,463
998,127
1000,115
1001,466
1002,417
1003,371
1004,371
1005,105
1006,444
1007,249
1008,225
1009,467
1010,468
1011,70
1012,424
1014,282
1015,347
1016,225
1017,469
1018,70
1019,106
1020,60
1021,226
1022,102
1023,60
1024,205
1025,330
1026,60
1027,284
1028,354
1029,473
1031,54
1033,470
1034,471
1035,143
1037,473
1038,428
1039,474
1040,168
1041,475
1042,226
1043,226
1044,152
1048,190
1049,190
1052,200
1053,479
1054,480
1056,623
1057,21
1058,481
1059,412
1060,482
1061,483
1062,482
1063,482
1064,482
1065,381
1066,367
1067,482
1068,482
1069,484
1070,484
1071,485
1072,260
1073,462
1074,35
1075,415
1076,415
1077,190
1078,486
1079,487
1080,488
1081,488
1082,489
1083,487
1084,208
1085,370
1087,501
1088,482
1089,482
1090,482
1091,482
1092,482
1093,482
1094,482
1095,108
1096,490
1097,491
1098,454
1099,492
1100,284
1101,344
1102,493
1103,494
1104,495
1105,284
1106,285
1107,496
1108,497
1109,284
1110,498
1111,470
1112,499
1113,226
1114,1142
1115,765
1117,424
1118,466
1119,502
1120,466
1121,503
1122,464
1123,212
1124,105
1125,504
1126,99
1127,487
1128,99
1130,506
1131,507
1132,508
1133,410
1134,509
1135,510
1136,283
1137,101
1138,101
1139,198
1140,511
1141,31
1143,220
1144,79
1145,220
1147,512
1148,501
1149,501
1150,513
1151,367
1153,53
1154,263
1155,515
1159,143
1160,115
1161,36
1162,36
1163,36
1164,36
1166,36
1167,36
1168,36
1169,36
1170,518
1171,36
1172,36
1173,519
1175,521
1177,501
1178,201
1179,367
1180,367
1181,523
1182,524
1183,115
1185,20
1186,525
1187,115
1188,526
1189,376
1190,242
1191,528
1192,391
1193,73
1194,529
1195,201
1196,283
1197,530
1198,451
1199,531
1201,532
1202,421
1203,421
1205,623
1206,533
1207,529
1208,146
1209,76
1211,511
1212,534
1213,535
1214,536
1215,537
1216,13
1217,11
1218,538
1219,539
1220,21
1221,540
1222,1
1225,541
1226,542
1227,543
1228,544
1234,547
1235,547
1237,549
1238,550
1239,551
1240,552
1241,552
1242,208
1243,553
1244,370
1245,201
1246,201
1247,106
1248,228
1249,554
1250,554
1251,555
1252,201
1253,61
1254,556
1255,557
1256,34
1258,558
1260,558
1261,559
1262,560
1263,558
1264,561
1265,561
1266,562
1267,562
1268,562
1269,562
1270,562
1271,562
1272,562
1273,73
1274,73
1275,563
1276,564
1277,45
1278,262
1279,565
1280,562
1281,292
1282,24
1283,562
1284,566
1285,562
1286,24
1287,567
1288,568
1289,569
1290,570
1291,570
1292,561
1293,26
1294,332
1295,571
1296,572
1297,573
1298,573
1299,574
1300,73
1301,575
1302,73
1303,576
1304,533
1305,575
1306,576
1307,576
1309,187
1310,45
1311,73
1312,73
1313,13
1314,577
1315,578
1316,578
1317,579
1318,580
1319,13
1320,581
1321,582
1322,573
1323,583
1324,579
1325,584
1326,585
1327,586
1328,563
1329,587
1330,588
1331,588
1332,588
1333,63
1334,2
1335,589
1337,590
1338,590
1339,590
1341,591
1342,592
1343,593
1344,594
1345,576
1346,534
1347,595
1348,595
1349,595
1350,596
1351,597
1352,598
1353,24
1354,599
1355,599
1356,600
1357,561
1358,601
1359,602
1360,601
1361,601
1362,603
1363,562
1364,604
1365,534
1366,605
1367,606
1368,607
1369,608
1370,10
1371,609
1372,610
1373,8
1374,108
1375,225
1377,611
1379,20
1380,612
1381,24
1382,613
1384,352
1385,66
1386,541
1388,44
1389,36
1390,614
1391,615
1392,616
1393,36
1394,218
1395,617
1396,21
1397,618
1398,619
1399,564
1400,32
1401,201
1402,1
1403,25
1404,104
1405,616
1406,104
1407,104
1408,104
1409,620
1410,113
1411,186
1412,183
1413,621
1414,570
1415,622
1416,570
1417,623
1418,623
1419,623
1420,624
1421,46
1422,46
1423,46
1424,46
1425,81
1426,46
1427,46
1428,46
1429,625
1430,626
1431,626
1432,626
1433,534
1434,601
1435,627
1436,628
1437,597
1438,146
1439,629
1440,629
1441,30
1442,76
1443,630
1444,631
1445,632
1446,2
1447,3
1448,633
1449,376
1450,54
1451,634
1452,634
1453,636
1454,637
1455,638
1456,639
1457,639
1458,639
1459,639
1460,639
1461,639
1462,77
1463,623
1464,640
1465,244
1466,641
1467,642
1469,644
1472,647
1473,648
1476,651
1477,652
1480,655
1481,656
1482,657
1485,660
1487,662
